"/Vout (CD=1.8e-11,Iin=1.9e-06) X","/Vout (CD=1.8e-11,Iin=1.9e-06) Y"
0,0.5000142892476785
6.5e-10,0.5000142969660644
1.95e-09,0.5000143063964585
4.55e-09,0.5000143154792834
9.750000000000001e-09,0.500014313561191
1.625e-08,0.5000143009691287
2.275e-08,0.5000142907905289
2.925e-08,0.5000142863278692
3.575e-08,0.5000142861081132
4.225e-08,0.5000142878265604
4.875e-08,0.5000142898424447
5.525e-08,0.5000142913486553
6.174999999999999e-08,0.5000142921354483
6.824999999999999e-08,0.5000142923230693
7.474999999999999e-08,0.5000142921546881
8.124999999999999e-08,0.5000142918620724
8.774999999999999e-08,0.5000142916003136
9.424999999999999e-08,0.500014291437329
1.0075e-07,0.5000142913756601
1.0725e-07,0.5000142913841563
1.1375e-07,0.5000142914249215
1.2025e-07,0.500014291468681
1.2675e-07,0.5000142914999354
1.3325e-07,0.5000142915150138
1.3975e-07,0.5000142915172129
1.44875e-07,0.5000142915133656
1.5e-07,0.5000142915077699
1.51e-07,0.5001683466826411
1.52e-07,0.5003969880014906
1.531772221933513e-07,0.5006052150948496
1.542276586482437e-07,0.5007472022639422
1.557239282384145e-07,0.5008553783357702
1.572640254792802e-07,0.500870728013978
1.588726160159347e-07,0.5008176372115002
1.608006654638952e-07,0.5007064809441545
1.633397523336992e-07,0.5005370274076946
1.664065084657294e-07,0.5003446501109254
1.703601851204039e-07,0.5001490260775624
1.752590923546314e-07,0.4999928170433536
1.804118880088062e-07,0.4999130629173026
1.860715417637414e-07,0.4998942873286562
1.925715417637414e-07,0.4999205799244246
1.990715417637414e-07,0.4999635914165401
2.055715417637415e-07,0.500001305792821
2.120715417637415e-07,0.5000243550681559
2.185715417637415e-07,0.5000326868548638
2.250715417637415e-07,0.5000309804706871
2.315715417637415e-07,0.5000247998705033
2.380715417637415e-07,0.5000183625894611
2.445715417637415e-07,0.5000138560003009
2.5e-07,0.500011966381842
2.51e-07,0.5001658093613199
2.52e-07,0.5003943249072951
2.5319345852791e-07,0.50060430677529
2.542466787979297e-07,0.5007455956760039
2.557462989997957e-07,0.5008527783380622
2.572922486530844e-07,0.5008672998809879
2.58906613442121e-07,0.5008134894845443
2.608427370835521e-07,0.5007017276579627
2.633975012637499e-07,0.5005316733702225
2.664770541200033e-07,0.5003396188239617
2.704530623261635e-07,0.5001447615580883
2.753569023881118e-07,0.4999905930960131
2.805194028947059e-07,0.4999124237053851
2.862005560716765e-07,0.49989479418461
2.927005560716765e-07,0.4999216639263929
2.992005560716765e-07,0.4999646132278265
3.057005560716765e-07,0.5000019695455407
3.122005560716765e-07,0.5000246269924493
3.187005560716765e-07,0.5000326754126145
3.252005560716765e-07,0.5000308308841593
3.317005560716766e-07,0.5000246291062291
3.382005560716766e-07,0.5000182358548103
3.447005560716766e-07,0.5000137917178437
3.5e-07,0.5000119746868126
3.51e-07,0.5001658190428471
3.52e-07,0.5003943355177217
3.531865142332654e-07,0.5006035555904896
3.542386141892682e-07,0.5007451518074604
3.557370250516785e-07,0.5008527910190121
