leafValue((VF("/Vout") / IF("/I4/PLUS")) "Iin" 0.001) X,leafValue((VF("/Vout") / IF("/I4/PLUS")) "Iin" 0.001) YRe,leafValue((VF("/Vout") / IF("/I4/PLUS")) "Iin" 0.001) YReImag
1,5011.464251033544,-0.0001553703882362862
1.023059729842509,5011.464251033544,-0.000158953187414537
1.046651210825427,5011.464251033545,-0.0001626186049739236
1.070786704986395,5011.464251033543,-0.0001663685460719844
1.095478757122332,5011.464251033543,-0.0001702049597987035
1.12074020130978,5011.464251033544,-0.0001741298401895121
1.146584167575622,5011.464251033544,-0.0001781452272618008
1.173024088721613,5011.464251033544,-0.0001822532080751903
1.200073707306289,5011.464251033543,-0.0001864559178163353
1.227747082787869,5011.464251033544,-0.0001907555409087153
1.256058598831886,5011.464251033544,-0.0001951543121480329
1.285022970787309,5011.464251033544,-0.0001996545178637688
1.314655253335082,5011.464251033544,-0.0002042584971075443
1.344970848313024,5011.464251033543,-0.0002089686428688828
1.375985512721172,5011.464251033544,-0.0002137874033189936
1.407715366911727,5011.464251033543,-0.000218717283083264
1.44017690296786,5011.464251033544,-0.0002237608445430437
1.473386993275719,5011.464251033542,-0.0002289207091675451
1.507362899294123,5011.464251033544,-0.0002341995588762983
1.542122280526466,5011.464251033542,-0.0002396001374332252
1.57768320369952,5011.464251033545,-0.0002451252518726572
1.614064152153895,5011.464251033543,-0.0002507777739584242
1.651284035451041,5011.464251033543,-0.0002565606416764141
1.689362199201789,5011.464251033542,-0.0002624768607616899
1.728318435121529,5011.464251033544,-0.0002685295062607635
1.768172991317259,5011.464251033544,-0.0002747217241298792
1.808946582811855,5011.464251033542,-0.0002810567328701884
1.850660402311025,5011.464251033542,-0.0002875378252005799
1.893336131218546,5011.464251033541,-0.0002941683697692177
1.936995950905506,5011.464251033542,-0.0003009518129043026
1.98166255423942,5011.464251033542,-0.0003078916804054894
2.027359157379196,5011.464251033542,-0.0003149915793764049
2.074109511842097,5011.464251033544,-0.00032225520009948
2.121937916848953,5011.464251033542,-0.0003296863179541201
2.170869231954065,5011.464251033542,-0.0003372887953789077
2.22092888996634,5011.464251033542,-0.0003450665838792642
2.272142910168386,5011.464251033542,-0.0003530237260811929
2.32453791184044,5011.464251033542,-0.0003611643578326138
2.37814112809615,5011.464251033542,-0.0003694927103529757
2.432980420037406,5011.464251033542,-0.0003780131124324933
2.489084291235582,5011.464251033542,-0.0003867299926821189
2.546481902546706,5011.464251033541,-0.0003956478818353615
2.60520308726827,5011.464251033541,-0.0004047714151032506
2.665278366645546,5011.46425103354,-0.0004141053345834958
2.726738965735475,5011.464251033542,-0.0004236544917253343
2.789616829636377,5011.464251033541,-0.0004334238498510901
2.853944640091907,5011.464251033541,-0.0004434184867359519
2.919755832477902,5011.46425103354,-0.0004536435972472593
2.987084613180931,5011.464251033539,-0.0004641044960445705
3.055965977377597,5011.464251033541,-0.0004748066203420479
3.126435727223822,5011.464251033537,-0.0004857555327345711
3.198530490463571,5011.464251033539,-0.0004969569240889441
3.272287739466687,5011.464251033536,-0.0005084166165017902
3.347745810705742,5011.464251033536,-0.0005201405663257548
3.424943924682006,5011.464251033538,-0.0005321348672653539
3.503922206310914,5011.464251033537,-0.0005444057535442821
3.584721705777611,5011.464251033537,-0.0005569596031457206
3.667384419873419,5011.464251033537,-0.0005698029411274593
3.751953313824325,5011.464251033535,-0.0005829424430133334
3.838472343622819,5011.464251033536,-0.0005963849382629457
3.926986478874702,5011.464251033535,-0.0006101374138214177
4.017541726172737,5011.464251033536,-0.0006242070177509425
4.110185153009286,5011.464251033535,-0.000638601062946086
4.20496491224037,5011.464251033532,-0.0006533270309347627
4.30193026711386,5011.464251033533,-0.0006683925757669315
4.401131616874816,5011.464251033532,-0.000683805527992848
4.502620522961273,5011.464251033531,-0.0006995738987331879
4.606449735804095,5011.464251033532,-0.0007157058838428356
4.712673222244832,5011.464251033532,-0.0007322098681709304
4.821346193585822,5011.464251033532,-0.0007490944299189959
4.932525134287118,5011.464251033531,-0.0007663683450994744
5.046267831325163,5011.464251033529,-0.0007840405920972995
5.162633404228463,5011.464251033527,-0.0008021203563366115
5.281682335805882,5011.464251033526,-0.000820617035054937
5.403476503583515,5011.464251033525,-0.0008395402421874721
5.528079211966493,5011.464251033526,-0.0008588998133642234
5.655555225142428,5011.464251033524,-0.0008787058110221757
5.7859708007436,5011.464251033522,-0.0008989685296354001
5.919393724285391,5011.464251033521,-0.0009196985010657266
6.055893344398853,5011.46425103352,-0.0009409065000368595
6.195540608875736,5011.464251033521,-0.0009626035497347579
6.338408101544702,5011.464251033519,-0.0009848009275370937
6.484570079997891,5011.464251033517,-0.001007510170874764
6.634102514187457,5011.464251033515,-0.001030743083228717
6.787083125912126,5011.464251033512,-0.001054511740265022
6.943591429214308,5011.464251033514,-0.001078828496111263
7.103708771708749,5011.464251033511,-0.001103705989778026
7.267518376864211,5011.464251033509,-0.001129157151727838
7.435105387260166,5011.46425103351,-0.001155195210596433
7.606556908840965,5011.464251033508,-0.001181833700068163
7.781962056190506,5011.464251033504,-0.001209086465910511
7.961411998850911,5011.464251033501,-0.001236967673170653
8.145000008709319,5011.464251033502,-0.001265491813537879
8.332821508477386,5011.4642510335,-0.001294673712875997
8.52497412128872,5011.464251033497,-0.001324528538929114
8.721557721440014,5011.464251033495,-0.001355071809205508
8.922674486302265,5011.464251033491,-0.00138631939904301
9.12842894942904,5011.464251033491,-0.001418287549860349
9.338928054889408,5011.464251033486,-0.001450992877599163
9.554281212853782,5011.464251033483,-0.001484452381360033
