Loop Gain Phase X,Loop Gain Phase Y
1,179.9986737263924
1.023059729842509,179.9986431428813
1.046651210825427,179.9986118541228
1.070786704986395,179.9985798438539
1.095478757122332,179.9985470954368
1.12074020130978,179.9985135918501
1.146584167575622,179.9984793156798
1.173024088721613,179.9984442491102
1.200073707306289,179.998408373915
1.227747082787869,179.9983716714475
1.256058598831886,179.998334122631
1.285022970787309,179.9982957079489
1.314655253335082,179.9982564074347
1.344970848313024,179.9982162006611
1.375985512721172,179.9981750667304
1.407715366911727,179.9981329842622
1.44017690296786,179.9980899313837
1.473386993275719,179.9980458857175
1.507362899294123,179.9980008243701
1.542122280526466,179.9979547239202
1.57768320369952,179.9979075604064
1.614064152153895,179.9978593093147
1.651284035451041,179.9978099455658
1.689362199201789,179.9977594435023
1.728318435121529,179.9977077768748
1.768172991317259,179.9976549188289
1.808946582811855,179.9976008418907
1.850660402311025,179.9975455179529
1.893336131218546,179.9974889182601
1.936995950905506,179.9974310133936
1.98166255423942,179.9973717732566
2.027359157379196,179.997311167058
2.074109511842097,179.9972491632968
2.121937916848953,179.9971857297457
2.170869231954065,179.9971208334341
2.22092888996634,179.997054440631
2.272142910168386,179.9969865168278
2.32453791184044,179.9969170267201
2.37814112809615,179.9968459341893
2.432980420037406,179.9967732022839
2.489084291235582,179.9966987932006
2.546481902546706,179.9966226682638
2.60520308726827,179.9965447879065
2.665278366645546,179.9964651116493
2.726738965735475,179.9963835980791
2.789616829636377,179.996300204828
2.853944640091907,179.9962148885512
2.919755832477902,179.996127604904
2.987084613180931,179.9960383085195
3.055965977377597,179.9959469529846
3.126435727223822,179.9958534908156
3.198530490463571,179.9957578734344
3.272287739466687,179.9956600511422
3.347745810705742,179.9955599730945
3.424943924682006,179.9954575872739
3.503922206310914,179.9953528404641
3.584721705777611,179.9952456782211
3.667384419873419,179.9951360448459
3.751953313824325,179.9950238833546
3.838472343622819,179.9949091354497
3.926986478874702,179.9947917414891
4.017541726172737,179.9946716404556
4.110185153009286,179.9945487699247
4.20496491224037,179.9944230660326
4.30193026711386,179.9942944634429
4.401131616874816,179.9941628953121
4.502620522961273,179.9940282932559
4.606449735804095,179.9938905873127
4.712673222244832,179.9937497059078
4.821346193585822,179.9936055758157
4.932525134287118,179.9934581221228
5.046267831325163,179.9933072681876
5.162633404228463,179.9931529356016
5.281682335805882,179.9929950441479
5.403476503583515,179.99283351176
5.528079211966493,179.9926682544791
5.655555225142428,179.99249918641
5.7859708007436,179.9923262196771
5.919393724285391,179.9921492643782
6.055893344398853,179.991968228538
6.195540608875736,179.9917830180604
6.338408101544702,179.9915935366794
6.484570079997891,179.9913996859092
6.634102514187457,179.9912013649928
6.787083125912126,179.9909984708498
6.943591429214308,179.990790898023
7.103708771708749,179.9905785386231
7.267518376864211,179.990361282273
7.435105387260166,179.9901390160505
7.606556908840965,179.9899116244293
7.781962056190506,179.9896789892191
7.961411998850911,179.9894409895041
8.145000008709319,179.9891975015803
8.332821508477386,179.9889483988912
8.52497412128872,179.9886935519619
8.721557721440014,179.9884328283316
8.922674486302265,179.9881660924854
9.12842894942904,179.9878932057831
9.338928054889408,179.9876140263877
9.554281212853782,179.9873284091916
9.774600356461546,179.9870362057407
10.00000000000004,179.9867372641579
10.23059729842512,179.9864314290636
10.4665121082543,179.9861185414956
10.70786704986399,179.9857984388255
10.95478757122336,179.9854709546753
11.20740201309784,179.9851359188301
11.46584167575626,179.9847931571498
11.73024088721618,179.9844424914789
12.00073707306293,179.9840837395536
12.27747082787874,179.983716714907
12.5605859883189,179.9833412267727
12.85022970787314,179.9829570799849
13.14655253335087,179.9825640748776
13.44970848313029,179.9821620071802
13.75985512721177,179.9817506679123
14.07715366911733,179.9813298432739
14.40176902967865,179.9808993145352
14.73386993275725,179.9804588579222
15.07362899294129,179.9800082445011
15.42122280526472,179.9795472400588
15.77683203699526,179.9790756049813
16.140641521539,179.9785930941293
16.51284035451047,179.9780994567106
16.89362199201796,179.9775944361496
17.28318435121535,179.9770777699545
17.68172991317265,179.9765491895805
18.08946582811861,179.9760084202899
18.50660402311032,179.97545518101
18.93336131218553,179.9748891841865
19.36995950905513,179.9743101356342
19.81662554239427,179.9737177343841
20.27359157379204,179.973111672527
20.74109511842104,179.9724916350534
21.2193791684896,179.9718572996899
21.70869231954073,179.9712083367313
22.20928889966348,179.9705444088699
22.72142910168394,179.9698651710195
23.24537911840449,179.9691702701365
23.78141128096158,179.9684593450363
24.32980420037415,179.9677320262053
24.8908429123559,179.9669879356093
25.46481902546715,179.9662266864966
26.0520308726828,179.9654478831974
26.65278366645556,179.9646511209176
27.26738965735485,179.963835985529
27.89616829636386,179.9630020533537
28.53944640091917,179.9621488909439
29.19755832477912,179.9612760548567
29.87084613180941,179.9603830914237
30.55965977377608,179.959469536515
31.26435727223833,179.9585349152982
31.98530490463582,179.9575787419914
32.72287739466699,179.9566005196108
33.47745810705754,179.9555997397125
34.24943924682018,179.954575882128
35.03922206310926,179.9535284146942
35.84721705777623,179.9524567929764
36.67384419873432,179.9513604599856
37.51953313824338,179.9502388458889
38.38472343622832,179.9490913677135
39.26986478874716,179.9479174290435
40.17541726172751,179.94671641971
41.101851530093,179.9454877154741
42.04964912240384,179.9442306777021
43.01930267113875,179.942944653034
44.01131616874832,179.9416289730439
45.02620522961289,179.9402829538921
46.06449735804111,179.9389058959703
47.12673222244849,179.9374970835376
48.2134619358584,179.9360557843488
49.32525134287136,179.9345812492736
50.46267831325181,179.9330727119073
51.62633404228481,179.9315293881725
52.816823358059,179.9299504759119
