VNIN() (Iin=1.9e-06) X,VNIN() (Iin=1.9e-06) Y
1,2.954479944997667e-10
1.023059729842509,2.920994772291557e-10
1.046651210825427,2.887889145324741e-10
1.070786704986395,2.855158762446018e-10
1.095478757122332,2.822799370762084e-10
1.12074020130978,2.790806765585719e-10
1.146584167575622,2.759176789889225e-10
1.173024088721613,2.727905333763912e-10
1.200073707306289,2.696988333885527e-10
1.227747082787869,2.666421772986879e-10
1.256058598831886,2.636201679336351e-10
1.285022970787309,2.606324126221587e-10
1.314655253335082,2.576785231437578e-10
1.344970848313024,2.547581156784714e-10
1.375985512721172,2.518708107568688e-10
1.407715366911727,2.490162332107444e-10
1.44017690296786,2.461940121244477e-10
1.473386993275719,2.434037807866746e-10
1.507362899294123,2.406451766425658e-10
1.542122280526466,2.379178412470719e-10
1.57768320369952,2.352214202178526e-10
1.614064152153895,2.325555631898012e-10
1.651284035451041,2.299199237689767e-10
1.689362199201789,2.27314159487915e-10
1.728318435121529,2.247379317609297e-10
1.768172991317259,2.221909058404201e-10
1.808946582811855,2.196727507731039e-10
1.850660402311025,2.171831393569917e-10
1.893336131218546,2.147217480991499e-10
1.936995950905506,2.122882571732523e-10
1.98166255423942,2.098823503786487e-10
2.027359157379196,2.075037150984648e-10
2.074109511842097,2.05152042259663e-10
2.121937916848953,2.028270262925695e-10
2.170869231954065,2.005283650912004e-10
2.22092888996634,1.982557599741825e-10
2.272142910168386,1.960089156454895e-10
2.32453791184044,1.937875401566022e-10
2.37814112809615,1.915913448683872e-10
2.432980420037406,1.894200444134377e-10
2.489084291235582,1.87273356659183e-10
2.546481902546706,1.851510026710078e-10
2.60520308726827,1.830527066763859e-10
2.665278366645546,1.809781960286985e-10
2.726738965735475,1.789272011718019e-10
2.789616829636377,1.768994556054052e-10
2.853944640091907,1.748946958499707e-10
2.919755832477902,1.729126614126651e-10
2.987084613180931,1.709530947536177e-10
3.055965977377597,1.690157412522198e-10
3.126435727223822,1.67100349174467e-10
3.198530490463571,1.652066696394993e-10
3.272287739466687,1.63334456588163e-10
3.347745810705742,1.614834667502952e-10
3.424943924682006,1.596534596135824e-10
3.503922206310914,1.578441973921254e-10
3.584721705777611,1.560554449955268e-10
3.667384419873419,1.54286969998269e-10
3.751953313824325,1.525385426098534e-10
3.838472343622819,1.508099356444808e-10
3.926986478874702,1.49100924491987e-10
4.017541726172737,1.474112870882188e-10
