sqrt(iinteg(leafValue( VNIN("/tp/xph2sei/xph2sei107/ams_cds_isr_s35/Sim/csa_miniprojet2/sch_bench/maestro/results/maestro/ExplorerRun.0/psf/csa_miniprojet2_sch_bench_1") "Iin" 1.9e-06 )**2)) X,sqrt(iinteg(leafValue( VNIN("/tp/xph2sei/xph2sei107/ams_cds_isr_s35/Sim/csa_miniprojet2/sch_bench/maestro/results/maestro/ExplorerRun.0/psf/csa_miniprojet2_sch_bench_1") "Iin" 1.9e-06 )**2)) Y
1,0
1.023059729842509,4.461153086470096e-11
1.046651210825427,6.309024876832895e-11
1.070786704986395,7.726947948253039e-11
1.095478757122332,8.922313402700546e-11
1.12074020130978,9.975452420344004e-11
1.146584167575622,1.092756371390563e-10
1.173024088721613,1.180312120515901e-10
1.200073707306289,1.261807100647354e-10
1.227747082787869,1.338348932466877e-10
1.256058598831886,1.410744067837191e-10
1.285022970787309,1.479601312790596e-10
1.314655253335082,1.545393649091263e-10
1.344970848313024,1.608497214355925e-10
1.375985512721172,1.669216979575654e-10
1.407715366911727,1.727804284636868e-10
1.44017690296786,1.784469181150388e-10
1.473386993275719,1.839389346772586e-10
1.507362899294123,1.892716667786799e-10
1.542122280526466,1.944582194714353e-10
1.57768320369952,1.995099937010953e-10
1.614064152153895,2.04436981289129e-10
1.651284035451041,2.092479973411988e-10
1.689362199201789,2.13950865578335e-10
1.728318435121529,2.185525677466919e-10
1.768172991317259,2.23059365265823e-10
1.808946582811855,2.274768991712486e-10
1.850660402311025,2.318102729052072e-10
1.893336131218546,2.360641214216791e-10
1.936995950905506,2.402426692731773e-10
1.98166255423942,2.44349779753302e-10
2.027359157379196,2.48388996722874e-10
2.074109511842097,2.523635804085184e-10
2.121937916848953,2.562765382025454e-10
2.170869231954065,2.601306512916345e-10
2.22092888996634,2.639284977846655e-10
2.272142910168386,2.676724728863093e-10
2.32453791184044,2.713648065649153e-10
2.37814112809615,2.75007579084904e-10
2.432980420037406,2.786027347109044e-10
2.489084291235582,2.821520938399746e-10
2.546481902546706,2.85657363776818e-10
2.60520308726827,2.891201483330256e-10
2.665278366645546,2.925419564035019e-10
2.726738965735475,2.95924209650197e-10
2.789616829636377,2.992682494041655e-10
2.853944640091907,3.025753428809921e-10
2.919755832477902,3.058466887912698e-10
2.987084613180931,3.090834224165819e-10
3.055965977377597,3.122866202119334e-10
3.126435727223822,3.154573039875388e-10
3.198530490463571,3.185964447160134e-10
3.272287739466687,3.217049660051906e-10
3.347745810705742,3.24783747271775e-10
3.424943924682006,3.278336266467301e-10
3.503922206310914,3.308554036396193e-10
3.584721705777611,3.338498415858914e-10
3.667384419873419,3.368176698983426e-10
3.751953313824325,3.397595861415797e-10
3.838472343622819,3.426762579461933e-10
3.926986478874702,3.455683247775266e-10
4.017541726172737,3.484363995723168e-10
4.110185153009286,3.512810702550738e-10
4.20496491224037,3.541029011448327e-10
4.30193026711386,3.569024342618023e-10
4.401131616874816,3.596801905424888e-10
4.502620522961273,3.624366709710145e-10
4.606449735804095,3.651723576335796e-10
4.712673222244832,3.678877147023609e-10
4.821346193585822,3.705831893545397e-10
4.932525134287118,3.732592126316012e-10
5.046267831325163,3.759162002435872e-10
5.162633404228463,3.78554553322559e-10
5.281682335805882,3.811746591291266e-10
5.403476503583515,3.837768917155748e-10
5.528079211966493,3.863616125488014e-10
5.655555225142428,3.88929171096007e-10
5.7859708007436,3.914799053758201e-10
5.919393724285391,3.940141424773202e-10
6.055893344398853,3.965321990492181e-10
6.195540608875736,3.990343817612603e-10
6.338408101544702,4.015209877397675e-10
6.484570079997891,4.039923049790542e-10
6.634102514187457,4.064486127303429e-10
6.787083125912126,4.088901818696612e-10
6.943591429214308,4.113172752460948e-10
7.103708771708749,4.13730148011663e-10
7.267518376864211,4.161290479339896e-10
7.435105387260166,4.185142156928517e-10
7.606556908840965,4.208858851616142e-10
7.781962056190506,4.232442836744838e-10
7.961411998850911,4.255896322804403e-10
8.145000008709319,4.279221459846509e-10
8.332821508477386,4.302420339781216e-10
8.52497412128872,4.3254949985627e-10
8.721557721440014,4.348447418270668e-10
8.922674486302265,4.371279529093571e-10
9.12842894942904,4.393993211219136e-10
9.338928054889408,4.416590296637503e-10
9.554281212853782,4.4390725708619e-10
9.774600356461546,4.461441774571326e-10
10.00000000000004,4.483699605179603e-10
10.23059729842512,4.505847718334813e-10
10.4665121082543,4.52788772935281e-10
10.70786704986399,4.549821214588326e-10
10.95478757122336,4.57164971274701e-10
11.20740201309784,4.593374726141486e-10
11.46584167575626,4.614997721894263e-10
11.73024088721618,4.636520133090284e-10
12.00073707306293,4.657943359881701e-10
12.27747082787874,4.679268770547196e-10
12.5605859883189,4.700497702508202e-10
12.85022970787314,4.721631463304116e-10
13.14655253335087,4.742671331528499e-10
13.44970848313029,4.763618557728227e-10
13.75985512721177,4.784474365267306e-10
14.07715366911733,4.805239951157087e-10
14.40176902967865,4.825916486854467e-10
14.73386993275725,4.846505119029552e-10
15.07362899294129,4.867006970304239e-10
15.42122280526472,4.887423139963034e-10
15.77683203699526,4.907754704637409e-10
16.140641521539,4.928002718964895e-10
16.51284035451047,4.948168216223996e-10
16.89362199201796,4.968252208946107e-10
17.28318435121535,4.988255689505373e-10
17.68172991317265,5.008179630687488e-10
18.08946582811861,5.028024986238374e-10
18.50660402311032,5.047792691393578e-10
18.93336131218553,5.067483663389217e-10
19.36995950905513,5.087098801955339e-10
19.81662554239427,5.106638989792346e-10
20.27359157379204,5.126105093031215e-10
20.74109511842104,5.145497961678235e-10
21.2193791684896,5.16481843004488e-10
21.70869231954073,5.184067317163421e-10
22.20928889966348,5.203245427188866e-10
22.72142910168394,5.222353549787804e-10
23.24537911840449,5.241392460514644e-10
23.78141128096158,5.260362921175792e-10
24.32980420037415,5.279265680182226e-10
24.8908429123559,5.298101472890932e-10
25.46481902546715,5.316871021935627e-10
26.0520308726828,5.335575037547221e-10
26.65278366645556,5.354214217864387e-10
27.26738965735485,5.372789249234626e-10
27.89616829636386,5.391300806506193e-10
28.53944640091917,5.409749553311239e-10
29.19755832477912,5.428136142340506e-10
29.87084613180941,5.446461215609866e-10
30.55965977377608,5.464725404719038e-10
31.26435727223833,5.482929331102768e-10
31.98530490463582,5.501073606274723e-10
32.72287739466699,5.519158832064439e-10
33.47745810705754,5.537185600847474e-10
34.24943924682018,5.555154495769107e-10
35.03922206310926,5.573066090961776e-10
35.84721705777623,5.590920951756478e-10
36.67384419873432,5.60871963488835e-10
37.51953313824338,5.626462688696658e-10
38.38472343622832,5.644150653319357e-10
